Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Autophagy	2/137	0.15471485015711253	0.36655518344915894	0	0	2.9278518518518517	5.463873778039772	ATG7;HRAS
Estrogen signaling pathway	2/137	0.15471485015711253	0.36655518344915894	0	0	2.9278518518518517	5.463873778039772	KRT19;HRAS
Insulin signaling pathway	2/137	0.15471485015711253	0.36655518344915894	0	0	2.9278518518518517	5.463873778039772	HRAS;GCK
Starch and sucrose metabolism	1/36	0.1682563218331979	0.3799108474528566	0	0	5.618953323903819	10.014473606609219	GCK
Tyrosine metabolism	1/36	0.1682563218331979	0.3799108474528566	0	0	5.618953323903819	10.014473606609219	GOT1
Alanine, aspartate and glutamate metabolism	1/37	0.1725058575997924	0.3799108474528566	0	0	5.462596259625963	9.599551979063234	GOT1
Thyroid cancer	1/37	0.1725058575997924	0.3799108474528566	0	0	5.462596259625963	9.599551979063234	HRAS
Breast cancer	2/147	0.17268674884220753	0.3799108474528566	0	0	2.724551724137931	4.785064875021463	EGF;HRAS
Gastric cancer	2/149	0.17632240422638285	0.3824457781811685	0	0	2.6872108843537417	4.663496260169139	EGF;HRAS
Ferroptosis	1/41	0.18929007620664925	0.39744810205553827	0	0	4.915346534653465	8.181469682114148	ATG7
MAPK signaling pathway	3/294	0.1897293171682093	0.39744810205553827	0	0	2.041757784025825	3.3937217257128602	KITLG;EGF;HRAS
Hepatitis C	2/157	0.19098155553318072	0.39744810205553827	0	0	2.547483870967742	4.217559330956843	EGF;HRAS
Hepatitis B	2/162	0.20022607993810035	0.41113088413956606	0	0	2.46725	3.968098285960021	CASP10;HRAS
Type II diabetes mellitus	1/46	0.20979699739375907	0.41684547938818295	0	0	4.368096809680968	6.821285040264925	GCK
Tight junction	2/169	0.2132552286636605	0.41684547938818295	0	0	2.3629940119760477	3.651453298209308	ARHGEF2;EZR
Nucleotide excision repair	1/47	0.21383631734848346	0.41684547938818295	0	0	4.27292294446836	6.591173482799382	CETN2
Other types of O-glycan biosynthesis	1/47	0.21383631734848346	0.41684547938818295	0	0	4.27292294446836	6.591173482799382	GALNT1
Arginine and proline metabolism	1/50	0.2258320069783284	0.43472661343328217	0	0	4.010709234188725	5.967790506031058	GOT1
Glycosaminoglycan biosynthesis	1/53	0.23764642747380324	0.45182160285142836	0	0	3.778750952018279	5.42995670098592	HS3ST5
Hedgehog signaling pathway	1/56	0.24928229119870132	0.45771505257631834	0	0	3.572097209720972	4.96224786993517	KIF3A
Pyrimidine metabolism	1/56	0.24928229119870132	0.45771505257631834	0	0	3.572097209720972	4.96224786993517	ENTPD6
Glutathione metabolism	1/57	0.25312169621510944	0.45771505257631834	0	0	3.508132956152758	4.81977087178201	ANPEP
Transcriptional misregulation in cancer	2/192	0.2565196635396153	0.45771505257631834	0	0	2.0745263157894738	2.8224966883661975	HPGD;BCL2A1
VEGF signaling pathway	1/59	0.2607422704872568	0.45771505257631834	0	0	3.3868214407647663	4.5526426981721455	HRAS
Notch signaling pathway	1/59	0.2607422704872568	0.45771505257631834	0	0	3.3868214407647663	4.5526426981721455	DTX3L
Viral myocarditis	1/60	0.264523634281119	0.45771505257631834	0	0	3.3292498741399563	4.427318638915545	FYN
Long-term depression	1/60	0.264523634281119	0.45771505257631834	0	0	3.3292498741399563	4.427318638915545	HRAS
GnRH secretion	1/64	0.27945851435839386	0.4756893047035024	0	0	3.1172402954581173	3.974174096178889	HRAS
Proteoglycans in cancer	2/205	0.28108913459752416	0.4756893047035024	0	0	1.9403940886699507	2.4625220340601093	EZR;HRAS
Glycolysis / Gluconeogenesis	1/67	0.290462233502279	0.4809804726811932	0	0	2.975097509750975	3.67805865550658	GCK
Long-term potentiation	1/67	0.290462233502279	0.4809804726811932	0	0	2.975097509750975	3.67805865550658	HRAS
Mitophagy	1/68	0.29409303370539047	0.4818119913896823	0	0	2.9305452933353036	3.5865745853618005	HRAS
Renal cell carcinoma	1/69	0.2977054357946365	0.4825961801302528	0	0	2.8873034362259755	3.498403379246233	HRAS
RIG-I-like receptor signaling pathway	1/70	0.3012995320852558	0.4833346660534312	0	0	2.8453149662792367	3.413383197114134	CASP10
Adherens junction	1/71	0.30487541445898425	0.4840290085225111	0	0	2.8045261669024044	3.331362193114698	FYN
Chronic myeloid leukemia	1/76	0.3224848002656778	0.5016430226354988	0	0	2.616897689768977	2.961541217779602	HRAS
Pancreatic cancer	1/76	0.3224848002656778	0.5016430226354988	0	0	2.616897689768977	2.961541217779602	EGF
B cell receptor signaling pathway	1/81	0.3396523554957474	0.5230646274634511	0	0	2.4527227722772276	2.6485301757911484	HRAS
Chemical carcinogenesis	2/239	0.3448552736943817	0.5258189321676711	0	0	1.65915611814346	1.7663881188757447	EGF;HRAS
Complement and coagulation cascades	1/85	0.3530756685001142	0.5298111507013872	0	0	2.3354549740688353	2.4313788515254124	F2
Insulin secretion	1/86	0.35638905886629263	0.5298111507013872	0	0	2.3078625509609783	2.381096298287925	GCK
Shigellosis	2/246	0.3577945433308069	0.5298111507013872	0	0	1.610983606557377	1.655763084642645	CYTH4;ARHGEF2
Salmonella infection	2/249	0.3633128605648063	0.5328588621617159	0	0	1.591174089068826	1.6110493508696981	CYTH4;HRAS
Small cell lung cancer	1/92	0.37591943748490464	0.5445996542434952	0	0	2.155042976825155	2.1084518539864536	CKS1B
GnRH signaling pathway	1/93	0.37911695126655665	0.5445996542434952	0	0	2.131510977184675	2.0673749692075583	HRAS
TGF-beta signaling pathway	1/94	0.3822982421487303	0.5445996542434952	0	0	2.1084850420525925	2.027422724538319	AMH
Staphylococcus aureus infection	1/95	0.38546339163987653	0.5445996542434952	0	0	2.0859490204339584	1.9885540869631606	KRT19
AGE-RAGE signaling pathway in diabetic complications	1/100	0.40104984239534247	0.5614697793534794	0	0	1.9800980098009802	1.8091552855878605	HRAS
Longevity regulating pathway	1/102	0.407174240334478	0.5631720342049531	0	0	1.9406920890108812	1.7437391595891547	HRAS
C-type lectin receptor signaling pathway	1/104	0.41323662250103704	0.5631720342049531	0	0	1.9028164952417572	1.6815853722527565	HRAS
NF-kappa B signaling pathway	1/104	0.41323662250103704	0.5631720342049531	0	0	1.9028164952417572	1.6815853722527565	BCL2A1
Glucagon signaling pathway	1/107	0.4222152748646144	0.5683732758224658	0	0	1.8486829815056978	1.5940083492830097	GCK
Drug metabolism	1/108	0.4251778207952197	0.5683732758224658	0	0	1.8313130378458407	1.5662264388401705	IMPDH2
HIF-1 signaling pathway	1/109	0.4281253246454937	0.5683732758224658	0	0	1.8142647598093142	1.539112117523574	EGF
TNF signaling pathway	1/112	0.4368783380844716	0.5728280363663335	0	0	1.764962982784765	1.4615667730033788	CASP10
Serotonergic synapse	1/113	0.43976642602899374	0.5728280363663335	0	0	1.749115983026874	1.4369189700230403	HRAS
Leukocyte transendothelial migration	1/114	0.44263984628307584	0.5728280363663335	0	0	1.7335494611408044	1.4128407785296562	EZR
Neurotrophin signaling pathway	1/119	0.4567895003338674	0.5862131920951299	0	0	1.6596744420204732	1.300409040938608	HRAS
Thyroid hormone signaling pathway	1/121	0.46234924133329824	0.5884444889696523	0	0	1.6318481848184818	1.2588643799341437	HRAS
MicroRNAs in cancer	2/310	0.47085921974690387	0.594363277385436	0	0	1.2720779220779221	0.9581241630669427	EZR;HRAS
Osteoclast differentiation	1/127	0.4786926108283515	0.5963253493435982	0	0	1.5536696526795537	1.1445831795753345	FYN
Lysosome	1/128	0.4813682629881532	0.5963253493435982	0	0	1.5413580728151555	1.1269218485744383	ARSB
Relaxin signaling pathway	1/129	0.4840303160256479	0.5963253493435982	0	0	1.5292388613861385	1.1096275507822333	HRAS
Vascular smooth muscle contraction	1/133	0.49454390098005757	0.599683155519125	0	0	1.4825982598259826	1.043926127965857	EDN3
Oxidative phosphorylation	1/133	0.49454390098005757	0.599683155519125	0	0	1.4825982598259826	1.043926127965857	ATP4B
Apelin signaling pathway	1/137	0.5048453145340125	0.6024041406768853	0	0	1.4387012230634828	0.9833568962561355	HRAS
Human papillomavirus infection	2/331	0.5053816014325154	0.6024041406768853	0	0	1.1896048632218845	0.8118357137775956	EGF;HRAS
Fluid shear stress and atherosclerosis	1/139	0.5099177854032545	0.6024041406768853	0	0	1.4177069880901134	0.9548338385624286	ARHGEF2
Ubiquitin mediated proteolysis	1/140	0.5124346910952726	0.6024041406768853	0	0	1.407436427095947	0.9409866726994145	HERC4
Signaling pathways regulating pluripotency of stem cells	1/143	0.5199088659087284	0.6065603435601832	0	0	1.3774926788453494	0.9010203589432639	HRAS
mTOR signaling pathway	1/154	0.5463562659117879	0.6279019772419054	0	0	1.2777454216009836	0.7723766817717403	HRAS
Oxytocin signaling pathway	1/154	0.5463562659117879	0.6279019772419054	0	0	1.2777454216009836	0.7723766817717403	HRAS
Cellular senescence	1/156	0.551007458939614	0.6285566568644486	0	0	1.2611306291919515	0.7516425981968115	HRAS
Hippo signaling pathway	1/163	0.5669178348455791	0.6419510776927881	0	0	1.2062095098398729	0.6845732282025914	AMH
Hepatocellular carcinoma	1/168	0.5779393269282427	0.6496544258901413	0	0	1.1697990158297267	0.641384875357916	HRAS
Tuberculosis	1/180	0.6032706296625326	0.6732150504929713	0	0	1.0907129819127164	0.5512347549900032	CASP10
Alcoholism	1/186	0.6153657361992282	0.6817721106092168	0	0	1.055017393631255	0.5122515574271667	HRAS
Neutrophil extracellular trap formation	1/189	0.6212756340475746	0.6821721112470644	0	0	1.0380240151674742	0.4940791278583512	ATG7
Chemokine signaling pathway	1/192	0.6270956027529703	0.6821721112470644	0	0	1.0215644601109326	0.47671946408780363	HRAS
Kaposi sarcoma-associated herpesvirus infection	1/193	0.6290158428382022	0.6821721112470644	0	0	1.0161922442244224	0.4711055408193936	HRAS
Viral carcinogenesis	1/203	0.647687775857469	0.6975099124618896	0	0	0.9653955494559356	0.4193162032440959	HRAS
Human immunodeficiency virus 1 infection	1/212	0.6636951598239673	0.7097851014784095	0	0	0.9237952231242081	0.378693529711757	HRAS
Lipid and atherosclerosis	1/215	0.6688692284260657	0.710385249500787	0	0	0.9107060238734154	0.3662556464602094	HRAS
Human T-cell leukemia virus 1 infection	1/219	0.675645560072286	0.7126672345967948	0	0	0.8938141520574076	0.3504526054178974	HRAS
Human cytomegalovirus infection	1/225	0.685553406418609	0.7181988067242571	0	0	0.8696074964639321	0.32830193922943623	HRAS
Thermogenesis	1/232	0.6967343153054589	0.7201146614566488	0	0	0.842955724143843	0.30460299848282196	HRAS
Coronavirus disease	1/232	0.6967343153054589	0.7201146614566488	0	0	0.842955724143843	0.30460299848282196	F2
Calcium signaling pathway	1/240	0.7090310917935283	0.727938587574689	0	0	0.8144082190645843	0.2800390714500137	EGF
Prion disease	1/273	0.7547462850179063	0.7697412443228979	0	0	0.7144001164822364	0.2010133558639159	FYN
Alzheimer disease	1/369	0.8510770684266656	0.8622754509059638	0	0	0.5254520017219113	0.08473049741517083	HRAS
Olfactory transduction	1/440	0.8971878488350997	0.903051821703303	0	0	0.43886871602877825	0.04761287571668549	CNGA2
Pathways of neurodegeneration	1/475	0.9143940539397574	0.9143940539397574	0	0	0.4057317124117475	0.036310419659895427	HRAS
